#;Circonscriptions;"Population 20191

(hab.)"
445;Tarn, 1re;111946
446;Tarn, 2e;142929
447;Tarn, 3e;134969
448;Tarn-et-Garonne, 1re;126873
449;Tarn-et-Garonne, 2e;133796
450;Var, 1re;124269
451;Var, 2e;130885
452;Var, 3e;129536
453;Var, 4e;139856
454;Var, 5e;128418
455;Var, 6e;153764
456;Var, 7e;128966
457;Var, 8e;141017
458;Vaucluse, 1re;116970
459;Vaucluse, 2e;110403
460;Vaucluse, 3e;103121
461;Vaucluse, 4e;119897
462;Vaucluse, 5e;111078
463;Vendée, 1re;155626
464;Vendée, 2e;140285
465;Vendée, 3e;146273
466;Vendée, 4e;134623
467;Vendée, 5e;108635
468;Vienne, 1re;120455
469;Vienne, 2e;121641
470;Vienne, 3e;97448
471;Vienne, 4e;98891
472;Haute-Vienne, 1re;123764
473;Haute-Vienne, 2e;131771
474;Haute-Vienne, 3e;116824
475;Vosges, 1re;103394
476;Vosges, 2e;94353
477;Vosges, 3e;81518
478;Vosges, 4e;85234
479;Yonne, 1re;105635
480;Yonne, 2e;100447
481;Yonne, 3e;129625
482;Territoire de Belfort, 1re;71010
483;Territoire de Belfort, 2e;70308
484;Essonne, 1re;140951
485;Essonne, 2e;133690
486;Essonne, 3e;149214
487;Essonne, 4e;146888
488;Essonne, 5e;98881
489;Essonne, 6e;136176
490;Essonne, 7e;128380
491;Essonne, 8e;119171
492;Essonne, 9e;130028
493;Essonne, 10e;118280
494;Hauts-de-Seine, 1re;127589
495;Hauts-de-Seine, 2e;118715
496;Hauts-de-Seine, 3e;127066
497;Hauts-de-Seine, 4e;145588
498;Hauts-de-Seine, 5e;129171
499;Hauts-de-Seine, 6e;117731
500;Hauts-de-Seine, 7e;126124
501;Hauts-de-Seine, 8e;102217
502;Hauts-de-Seine, 9e;104090
503;Hauts-de-Seine, 10e;122837
504;Hauts-de-Seine, 11e;120238
505;Hauts-de-Seine, 12e;145156
506;Hauts-de-Seine, 13e;137835
507;Seine-Saint-Denis, 1re;142469
508;Seine-Saint-Denis, 2e;128414
509;Seine-Saint-Denis, 3e;131500
510;Seine-Saint-Denis, 4e;151909
511;Seine-Saint-Denis, 5e;142644
512;Seine-Saint-Denis, 6e;148794
513;Seine-Saint-Denis, 7e;147300
514;Seine-Saint-Denis, 8e;116090
515;Seine-Saint-Denis, 9e;142332
516;Seine-Saint-Denis, 10e;138470
517;Seine-Saint-Denis, 11e;125908
518;Seine-Saint-Denis, 12e;129073
519;Val-de-Marne, 1re;135193
520;Val-de-Marne, 2e;139880
521;Val-de-Marne, 3e;150155
522;Val-de-Marne, 4e;120997
523;Val-de-Marne, 5e;144133
524;Val-de-Marne, 6e;124173
525;Val-de-Marne, 7e;117102
526;Val-de-Marne, 8e;120206
527;Val-de-Marne, 9e;105052
528;Val-de-Marne, 10e;134286
529;Val-de-Marne, 11e;115947
530;Val-d'Oise, 1re;129945
531;Val-d'Oise, 2e;125318
532;Val-d'Oise, 3e;148374
533;Val-d'Oise, 4e;117771
534;Val-d'Oise, 5e;142709
535;Val-d'Oise, 6e;119055
536;Val-d'Oise, 7e;118382
537;Val-d'Oise, 8e;116619
538;Val-d'Oise, 9e;118328
539;Val-d'Oise, 10e;113173
540;Guadeloupe, 1re;95755
541;Guadeloupe, 2e;103719
542;Guadeloupe, 3e;107579
543;Guadeloupe, 4e;77186
544;Martinique, 1re;99702
545;Martinique, 2e;89450
546;Martinique, 3e;76512
547;Martinique, 4e;98844
548;Guyane, 1re;135972
549;Guyane, 2e;145706
550;La Réunion, 1re;124023
551;La Réunion, 2e;123432
552;La Réunion, 3e;119075
553;La Réunion, 4e;135295
554;La Réunion, 5e;110439
555;La Réunion, 6e;109774
556;La Réunion, 7e;139172
557;Saint-Pierre-et-Miquelon, 1re;5974
558;Mayotte, 1re;137126
559;Mayotte, 2e;119392
560;Saint-Martin/Saint-Barthélemy, 1re;42778
561;Wallis et Futuna, 1re;11558
562;Polynésie française, 1re;95421
563;Polynésie française, 2e;87495
564;Polynésie française, 3e;93002
565;Nouvelle-Calédonie, 1re;114675
566;Nouvelle-Calédonie, 2e;156732
567;Français établis hors de France, 1re;231328
568;Français établis hors de France, 2e;89012
569;Français établis hors de France, 3e;168869
570;Français établis hors de France, 4e;157593
571;Français établis hors de France, 5e;103299
572;Français établis hors de France, 6e;174820
573;Français établis hors de France, 7e;123010
574;Français établis hors de France, 8e;131135
575;Français établis hors de France, 9e;159555
576;Français établis hors de France, 10e;140782
577;Français établis hors de France, 11e;135369
